,Game ID,Date,Season,Minute,Opponent,Play Type,Shot Attempt,Shot Distance,Shot Outcome,xG,Number of Passes,Second Chance,Play Context,Location on Field,Outcome,Success,Win Impact,Assist Type,Final Third Entry,Play Speed,Player Involvement,Phase of Match
1,1,2023-08-04,2024,69,Thunder FC,Pass Sequence,No,,,0.0,7,Yes,Fast Break,Right wing inside box,Retained Possession,Yes,1,Cutback,Yes,Quick Attack,Striker,Late
2,1,2023-08-04,2024,85,Thunder FC,Counterattack,Yes,29,On Target,0.2,1,Yes,Set Piece,Right wing inside box,Saved by GK,Yes,2,Through Ball,No,Quick Attack,Winger,Late
3,1,2023-08-04,2024,46,Thunder FC,Counterattack,Yes,26,On Target,0.16,3,Yes,Fast Break,Right wing close to box,Saved by GK,Yes,2,Cross,Yes,Quick Attack,Defender,Middle
4,1,2023-08-04,2024,49,Thunder FC,Shot Attempt,Yes,25,Missed,0.15,1,Yes,Open Play,Right wing outside box,Turnover,No,-1,Through Ball,No,Quick Attack,Midfielder,Middle
5,1,2023-08-04,2024,73,Thunder FC,Shot Attempt,Yes,11,Saved by GK,0.22,3,No,Open Play,Right wing inside box,Turnover,No,-1,Cross,No,Slow Build-up,Defender,Late
6,1,2023-08-04,2024,47,Thunder FC,Counterattack,Yes,9,Saved by GK,0.43,1,Yes,Open Play,Right wing close to box,Turnover,No,-1,Through Ball,Yes,Slow Build-up,Defender,Middle
7,2,2023-08-05,2024,68,Phoenix United,Shot Attempt,Yes,22,Goal,0.15,1,No,Fast Break,Right wing outside box,Goal,Yes,3,None,No,Slow Build-up,Midfielder,Late
8,2,2023-08-05,2024,59,Phoenix United,Pass Sequence,No,,,0.0,5,Yes,Fast Break,Central outside box,Retained Possession,Yes,1,Cutback,Yes,Quick Attack,Winger,Middle
9,2,2023-08-05,2024,21,Phoenix United,Corner,Yes,29,Goal,0.14,2,Yes,Open Play,Right wing outside box,Goal,Yes,3,Cutback,Yes,Quick Attack,Midfielder,Early
10,2,2023-08-05,2024,73,Phoenix United,Pass Sequence,No,,,0.0,2,No,Open Play,Right wing midfield,Retained Possession,Yes,1,Cross,Yes,Slow Build-up,Midfielder,Late
11,2,2023-08-05,2024,34,Phoenix United,Corner,Yes,24,Saved by GK,0.19,3,Yes,Fast Break,Right wing inside box,Saved by GK,Yes,2,Cutback,No,Slow Build-up,Striker,Middle
12,2,2023-08-05,2024,32,Phoenix United,Counterattack,Yes,7,On Target,0.41,3,Yes,Fast Break,Left wing outside box,Saved by GK,Yes,2,None,Yes,Quick Attack,Midfielder,Middle
13,3,2023-08-08,2024,5,Storm Rovers,Shot Attempt,Yes,7,Missed,0.48,2,Yes,Fast Break,Left wing inside box,Turnover,No,-1,Through Ball,Yes,Slow Build-up,Defender,Early
14,3,2023-08-08,2024,25,Storm Rovers,Pass Sequence,No,,,0.0,2,No,Set Piece,Central midfield,Retained Possession,Yes,1,Through Ball,No,Quick Attack,Striker,Early
15,3,2023-08-08,2024,8,Storm Rovers,Free Kick,Yes,28,On Target,0.17,1,Yes,Open Play,Left wing outside box,Saved by GK,Yes,2,Through Ball,Yes,Slow Build-up,Midfielder,Early
16,3,2023-08-08,2024,36,Storm Rovers,Free Kick,Yes,12,Goal,0.23,3,Yes,Open Play,Right wing close to box,Goal,Yes,3,None,Yes,Quick Attack,Midfielder,Middle
